diseases,medicine_1,medicine_2,medicine_3,side_effects
Labyrinthitis,Prednisone, Meclizine, Diazepam,"Dizziness, Vertigo, Hearing loss, Nausea, Vomiting, Ear pain"
Anxiety,Sertraline, Escitalopram, Alprazolam,"Excessive worry, Restlessness, Rapid heartbeat, Sweating, Trembling, Difficulty concentrating"
Impulse Control Disorder,Lithium, Carbamazepine, Fluoxetine,"Inability to resist urges, Tension before acting, Relief after acting, Aggression, Mood swings"
Stenosis of the Tear Duct,No drug; surgical procedure (DCR),,,"Excessive tearing, Eye discharge, Blurred vision, Swelling near inner eye corner, Recurrent eye infections"
Abscess of Nose,Clindamycin, Amoxicillin-Clavulanate, Trimethoprim-Sulfamethoxazole,"Nasal pain, Swelling, Redness, Fever, Nasal discharge, Tenderness"
Omphalitis,Ampicillin, Gentamicin, Cloxacillin,"Redness around navel, Swelling, Discharge, Foul odor, Fever, Warmth"
Leukemia,Imatinib, Cytarabine, Daunorubicin,"Fatigue, Frequent infections, Easy bruising, Bleeding, Bone pain, Swollen lymph nodes"
Bell Palsy,Prednisone, Acyclovir, Valacyclovir,"Facial drooping, Difficulty closing eye, Drooling, Loss of taste, Facial pain, Headache"
Conjunctivitis due to Allergy,Olopatadine, Ketotifen, Azelastine,"Red eyes, Itching, Watery discharge, Swollen eyelids, Burning sensation"
Drug Reaction,Diphenhydramine, Methylprednisolone, Epinephrine,"Skin rash, Itching, Fever, Swelling, Difficulty breathing, Nausea"
Adrenal Cancer,Mitotane, Cisplatin, Etoposide,"Abdominal pain, Weight loss, Fatigue, Hormonal changes, Back pain, Fever"
Myopia,No drug; corrective lenses or surgery,,,"Blurred distant vision, Squinting, Headaches, Eye strain, Difficulty seeing at night"
Osteoarthritis,Ibuprofen, Naproxen, Diclofenac,"Joint pain, Stiffness, Swelling, Reduced range of motion, Bone spurs, Tenderness"
Thyroid Disease,Levothyroxine, Propylthiouracil, Methimazole,"Fatigue, Weight changes, Temperature sensitivity, Mood changes, Hair loss, Heart palpitations"
Pharyngitis,Penicillin V, Amoxicillin, Azithromycin,"Sore throat, Difficulty swallowing, Fever, Swollen lymph nodes, Hoarseness, Cough"
Chronic Rheumatic Fever,Benzathine Penicillin G, Aspirin, Prednisone,"Joint pain, Fever, Chest pain, Rash, Fatigue, Heart murmur"
Hypocalcemia,Calcium Gluconate, Calcium Carbonate, Calcitriol,"Muscle cramps, Tingling, Numbness, Fatigue, Seizures, Anxiety"
Macular Degeneration,Ranibizumab, Bevacizumab, Aflibercept,"Blurred central vision, Dark spots, Distorted vision, Difficulty reading, Color changes"
Pneumonia,Amoxicillin, Azithromycin, Levofloxacin,"Cough with phlegm, Fever, Chills, Shortness of breath, Chest pain, Fatigue"
Cold Sore,Acyclovir, Valacyclovir, Famciclovir,"Tingling lips, Painful blisters, Burning sensation, Itching, Crusting, Swelling"
Premature Ventricular Contractions (PVCs),Metoprolol, Atenolol, Amiodarone,"Palpitations, Fluttering chest, Skipped heartbeats, Dizziness, Shortness of breath"
Testicular Cancer,Bleomycin, Etoposide, Cisplatin,"Testicular lump, Swelling, Heaviness in scrotum, Back pain, Breast tenderness, Fatigue"
Hydrocephalus,Acetazolamide (temporary); surgical shunt,,,"Enlarged head, Headache, Nausea, Vomiting, Vision problems, Cognitive changes"
Breast Cancer,Tamoxifen, Trastuzumab, Doxorubicin,"Breast lump, Nipple discharge, Skin dimpling, Breast pain, Nipple changes, Swollen lymph nodes"
Anemia due to Malignancy,Epoetin Alfa, Darbepoetin Alfa, Ferrous Sulfate,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold hands"
Esophageal Varices,Propranolol, Nadolol, Octreotide,"Vomiting blood, Black stools, Dizziness, Fainting, Abdominal pain, Shock"
Endometrial Cancer,Medroxyprogesterone, Carboplatin, Paclitaxel,"Abnormal vaginal bleeding, Pelvic pain, Watery discharge, Painful urination, Weight loss"
Cystic Fibrosis,Ivacaftor, Lumacaftor, Tezacaftor,"Chronic cough, Thick mucus, Frequent lung infections, Poor growth, Salty skin, Digestive issues"
Intertrigo (Skin Condition),Clotrimazole, Miconazole, Mupirocin,"Skin rash in folds, Redness, Itching, Raw skin, Burning, Odor"
Parathyroid Adenoma,No drug; surgical parathyroidectomy,,,"Fatigue, Weakness, Bone pain, Kidney stones, Nausea, Depression"
Glucocorticoid Deficiency,Hydrocortisone, Prednisone, Fludrocortisone,"Fatigue, Weakness, Weight loss, Low blood pressure, Nausea, Skin darkening"
Temporomandibular Joint Disorder,Ibuprofen, Naproxen, Diazepam,"Jaw pain, Clicking jaw, Difficulty chewing, Facial pain, Headache, Ear pain"
Wilson Disease,Penicillamine, Trientine, Zinc Sulfate,"Liver disease, Neurological symptoms, Psychiatric symptoms, Kayser-Fleischer rings, Tremors"
Vesicoureteral Reflux,Trimethoprim-Sulfamethoxazole, Nitrofurantoin,,"Frequent UTIs, Fever, Back pain, Painful urination, Foul-smelling urine, Bedwetting"
Vitamin A Deficiency,Retinol (Vitamin A), Beta-Carotene,,"Night blindness, Dry eyes, Skin problems, Frequent infections, Poor growth, Corneal damage"
Gonorrhea,Ceftriaxone, Azithromycin, Doxycycline,"Painful urination, Discharge, Pelvic pain, Testicular pain, Sore throat, Rectal discharge"
Fracture of the Rib,Ibuprofen, Naproxen, Acetaminophen,"Chest pain, Worse with breathing, Tenderness, Swelling, Bruising, Shortness of breath"
Ependymoma,Temozolomide, Carboplatin, Cisplatin,"Headache, Nausea, Vomiting, Neck pain, Back pain, Neurological deficits"
Hepatitis due to a Toxin,N-Acetylcysteine, Silymarin,,"Jaundice, Fatigue, Nausea, Abdominal pain, Dark urine, Loss of appetite"
Vaginal Cyst,No drug; surgical excision if symptomatic,,,"Vaginal lump, Discomfort, Pain during intercourse, Painful urination, Swelling"
Open Wound of the Shoulder,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising, Tissue damage"
Ectopic Pregnancy,Methotrexate,,,"Sharp pelvic pain, Vaginal bleeding, Shoulder pain, Dizziness, Fainting, Nausea"
Chronic Knee Pain,Ibuprofen, Naproxen, Diclofenac,"Persistent knee pain, Stiffness, Swelling, Reduced range of motion, Weakness, Clicking"
Pinguecula,Artificial Tears, Ketorolac, Fluorometholone,"Yellow eye growth, Eye irritation, Dryness, Redness, Foreign body sensation"
Hypergammaglobulinemia,Treat cause; Prednisone, Hydroxychloroquine,,"Fatigue, Frequent infections, Joint pain, Swollen lymph nodes, Weight loss, Fever"
Alcohol Abuse,Naltrexone, Acamprosate, Disulfiram,"Craving alcohol, Loss of control, Physical dependence, Tolerance, Withdrawal symptoms, Neglecting responsibilities"
Carpal Tunnel Syndrome,Triamcinolone, Ibuprofen, Vitamin B6 (Pyridoxine),"Hand numbness, Tingling, Weakness, Night pain, Wrist pain, Dropping objects"
Pituitary Disorder,Cabergoline, Bromocriptine, Octreotide,"Hormonal imbalance, Headaches, Vision problems, Fatigue, Weight changes, Growth abnormalities"
Kidney Stone,Tamsulosin, Potassium Citrate, Hydrochlorothiazide,"Severe back pain, Flank pain, Blood in urine, Nausea, Vomiting, Painful urination"
Autism,Risperidone, Aripiprazole, Sertraline,"Social difficulties, Communication problems, Repetitive behaviors, Sensory sensitivity, Restricted interests"
Cat Scratch Disease,Azithromycin, Doxycycline, Rifampicin,"Swollen lymph nodes, Fever, Fatigue, Headache, Rash, Cat scratch lesion"
Chronic Glaucoma,Latanoprost, Timolol, Brimonidine,"Gradual vision loss, Peripheral vision loss, Blurred vision, Eye pain, Halos around lights"
Retinal Detachment,No drug; surgical repair,,,"Floaters, Flashes of light, Shadow in vision, Blurred vision, Vision loss"
Aplastic Anemia,Cyclosporine, Antithymocyte Globulin, Eltrombopag,"Fatigue, Frequent infections, Easy bruising, Bleeding, Pallor, Shortness of breath"
Overflow Incontinence,Bethanechol, Tamsulosin, Oxybutynin,"Frequent dribbling, Weak urine stream, Frequent urination, Feeling of incomplete emptying"
Hemolytic Anemia,Prednisone, Rituximab, Folic Acid,"Fatigue, Jaundice, Pale skin, Shortness of breath, Dark urine, Rapid heartbeat"
Lateral Epicondylitis (Tennis Elbow),Ibuprofen, Naproxen, Triamcinolone,"Elbow pain, Forearm weakness, Pain with grip, Tenderness, Stiffness, Aching"
Open Wound of the Eye,Moxifloxacin, Tobramycin, Ciprofloxacin eye drops,"Eye pain, Bleeding, Vision changes, Swelling, Tearing, Light sensitivity"
Syphilis,Benzathine Penicillin G, Doxycycline, Ceftriaxone,"Painless sore, Rash, Flu-like symptoms, Swollen lymph nodes, Hair loss, Neurological symptoms"
Diabetic Kidney Disease,Ramipril, Losartan, Dapagliflozin,"Swelling, Fatigue, Poor appetite, Nausea, High blood pressure, Protein in urine"
Nose Disorder,Fluticasone, Budesonide, Oxymetazoline,"Nasal congestion, Discharge, Reduced smell, Nose bleeding, Facial pain, Sneezing"
Drug Withdrawal,Methadone, Buprenorphine, Naloxone,"Anxiety, Sweating, Tremors, Nausea, Insomnia, Seizures"
Dental Caries,Fluoride, Silver Diamine Fluoride,,"Toothache, Tooth sensitivity, Visible holes, Staining, Pain when eating, Bad breath"
Hypercholesterolemia,Atorvastatin, Rosuvastatin, Ezetimibe,"Usually asymptomatic, Xanthomas, Chest pain, Xanthelasma, Fatty deposits"
Fracture of the Patella,Ibuprofen, Naproxen, Acetaminophen,"Knee pain, Swelling, Inability to straighten knee, Bruising, Tenderness"
Kidney Failure,Erythropoietin, Calcitriol, Sevelamer,"Decreased urination, Swelling, Shortness of breath, Fatigue, Nausea, Confusion"
Fracture of the Neck,Ibuprofen, Morphine, Calcium Carbonate,"Severe neck pain, Stiffness, Neurological symptoms, Inability to move neck, Tenderness"
Muscle Spasm,Cyclobenzaprine, Baclofen, Methocarbamol,"Sudden muscle contraction, Pain, Hardness, Involuntary movement, Tenderness"
Hemophilia,Factor VIII Concentrate, Factor IX Concentrate, Desmopressin (DDAVP),"Excessive bleeding, Prolonged bleeding from cuts, Joint pain, Bruising, Blood in urine"
