diseases,medicine_1,medicine_2,medicine_3,side_effects
panic disorder,sertraline,paroxetine,alprazolam,"nausea, insomnia, diarrhea, dry mouth, sexual dysfunction, nausea, drowsiness, weight gain, sweating, sexual dysfunction, drowsiness, dizziness, dependence, memory problems, fatigue"
vocal cord polyp,corticosteroids (inhaled),omeprazole (for reflux),,"oral thrush, hoarseness, adrenal suppression, headache, diarrhea, nausea, abdominal pain"
turner syndrome,estrogen replacement therapy,growth hormone,,"nausea, breast tenderness, bloating, blood clots risk, joint pain, fluid retention, headache, insulin resistance"
cryptorchidism,human chorionic gonadotropin (hCG),leuprolide,,"headache, fatigue, mood swings, injection site pain, hot flashes, decreased libido, osteoporosis, injection site pain"
poisoning due to ethylene glycol,fomepizole,ethanol,,"nausea, headache, dizziness, injection site pain, sedation, nausea, respiratory depression"
atrophic vaginitis,topical estrogen (estradiol cream),ospemifene,,"breast tenderness, vaginal discharge, headache, hot flashes, vaginal discharge, muscle spasm"
fracture of the hand,ibuprofen,acetaminophen,calcium supplements,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash, constipation, bloating, kidney stones, hypercalcemia"
cellulitis or abscess of mouth,amoxicillin-clavulanate,clindamycin,metronidazole,"diarrhea, nausea, rash, yeast infection, diarrhea, C. diff colitis, nausea, rash, metallic taste, nausea, headache, dizziness"
eye alignment disorder,botulinum toxin,atropine drops,,"injection site pain, weakness, flu-like symptoms, ptosis, blurred vision, dry mouth, photophobia, tachycardia"
headache after lumbar puncture,caffeine,ibuprofen,acetaminophen,"insomnia, anxiety, palpitations, increased blood pressure, stomach pain, nausea, GI bleeding, kidney issues, hypertension, liver damage (overdose), nausea, rash"
pyloric stenosis,atropine,IV fluids (pre-surgical),,"dry mouth, tachycardia, urinary retention, blurred vision, fluid overload, electrolyte imbalance, phlebitis"
salivary gland disorder,pilocarpine,cevimeline,amoxicillin (if infected),"sweating, nausea, flushing, urinary frequency, sweating, nausea, diarrhea, excessive salivation, diarrhea, nausea, rash, allergic reaction"
osteochondrosis,ibuprofen,naproxen,bisphosphonates,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, esophageal irritation, jaw necrosis, atypical fractures, bone pain"
injury to the knee,ibuprofen,naproxen,acetaminophen,"stomach pain, nausea, GI bleeding, kidney issues, hypertension, GI upset, stomach ulcers, kidney effects, hypertension, liver damage (overdose), nausea, rash"
metabolic disorder,metformin,enzyme replacement therapy (varies by type),,"nausea, diarrhea, lactic acidosis (rare), vitamin B12 deficiency, generally well tolerated, minimal systemic side effects"
vaginitis,metronidazole,clindamycin,fluconazole,"metallic taste, nausea, headache, dizziness, diarrhea, C. diff colitis, nausea, rash, nausea, headache, liver toxicity, QT prolongation"
sick sinus syndrome,atropine,isoproterenol,,"dry mouth, tachycardia, urinary retention, blurred vision, tachycardia, arrhythmia, angina, tremor"
tinnitus of unknown cause,alprazolam,nortriptyline,melatonin,"drowsiness, dizziness, dependence, memory problems, fatigue, dry mouth, constipation, urinary retention, sedation, drowsiness, headache, dizziness, nausea"
glaucoma,timolol,latanoprost,dorzolamide,"bradycardia, bronchospasm, fatigue, depression, iris color change, eyelash growth, eye irritation, stinging, bitter taste, corneal edema"
